id,site,observer,date,day,month,year,date_format,juldate,start_time,timeformat,time_interval,species,species_format,dist1,dist2,dist3,dist4,dist5,total,detection,detection_format,temp,sky,wind,x,y,accuracy,location_notes,general_notes
blocdavmd1-179-2013-3,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,3,EAWP,eawp,.,.,.,.,1,1,A,a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-3,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,3,RBWO,rbwo,.,1,.,.,.,1,A,a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-3,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,3,MODO,modo,.,1,.,.,.,1,A,a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-3,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,3,CACH,cach,.,1,.,.,1,2,A,a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-3,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,3,EUST,eust,.,1,.,.,.,1,V,v,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-2,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,2,AMRO,amro,1,1,1,1,1,5,A,a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-2,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,2,MODO,modo,1,.,.,.,.,1,V,v,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-2,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,2,HOSP,hosp,.,1,1,2,1,5,V/A,v/a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-2,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,2,COGR,cogr,.,1,.,.,.,1,V,v,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-2,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,2,NOCA,noca,.,1,.,.,.,1,A,a,80,2,0,.,.,.,Mulberry active,.
