plantspecies,genus,taxa origin,genus_origin (via DT),leaftype,family,Total Lep spp,Exotic Lep spp,Native Lep spp,group,correctedlep,notes,paired_congener,congener
nestronia,nestronia,non-native,native,deciduous,Santalaceae,0,0,0,nestronia-exotic,0,,exotic,exotic congener
no shrubs,.,other,.,.,.,.,.,.,.,.,,other,other
norfolk island pine,araucaria,non-native,non-native,conifer,Araucariaceae,0,0,0,araucaria-exotic,0,leps from HOSTS,exotic,exotic
northern white cedar,thuja,native,native,conifer,Cupressaceae,50,2,48,thuja-native,50,,native congener,native
norway maple,acer,non-native,native,deciduous,Sapindaceae,297,10,287,acer-exotic,53.46,,exotic congener,exotic congener
norway spruce,picea,non-native,native,conifer,Pinaceae,150,4,146,picea-exotic,27,,exotic congener,exotic congener
oak sp.,quercus,native,native,deciduous,Fagaceae,532,14,518,quercus-native,532,,native congener,native
oakleaf hydrangea,hydrangea,native,native,deciduous,Hydrangeaceae,5,0,5,hydrangea-native,5,,native congener,native
olive,olea,non-native,non-native,deciduous,Oleaceae,13,.,.,olea-non-native,13,from HOSTS database,exotic,exotic
oriental bittersweet,celastrus,non-native,native,deciduous,Celastraceae,7,2,5,celastrus-exotic,1.26,,exotic,exotic congener
oriental cedar,platycladus,non-native,non-native,conifer,Cupressaceae,1,0,1,platycladus-exotic,1,leps from HOSTS,exotic,exotic
oriental juniper,juniperus,non-native,native,conifer,Cupressaceae,42,5,37,juniperus-exotic,7.56,,exotic congener,exotic congener
ornamental holly,ilex,non-native,native,deciduous,Aquifoliaceae,39,5,34,ilex-exotic,7.02,,exotic congener,exotic congener
ornamental rose,rosa,non-native,native,deciduous,Rosaceae,135,13,122,rosa-exotic,24.3,,exotic congener,exotic congener
overcup oak,quercus,native,native,deciduous,Fagaceae,532,14,518,quercus-native,532,,native congener,native
pachysandra,buxus,non-native,non-native,conifer,Buxaceae,1,0,1,buxus-exotic,1,,exotic,exotic
palm tree,palmae,non-native,non-native,deciduous,Arecaceae,2,2,0,palmae-exotic,2,,exotic,exotic
papaya,carica,non-native,non-native,deciduous,Caricaceae,26,.,.,carica-non-native,26,from HOSTS database (included all tropical country/island records),exotic,exotic
paper birch,betula,non-native,native,deciduous,Betulaceae,411,11,400,betula-exotic,73.98,,exotic,exotic congener
paper mulberry,morus,non-native,native,deciduous,Moraceae,9,3,6,morus-exotic,1.62,,exotic,exotic congener
pawpaw,asimina,native,native,deciduous,Annonaceae,12,0,12,asimina-native,12,,native,native
peach,prunus,non-native,native,deciduous,Rosaceae,456,27,429,prunus-exotic,82.08,,exotic congener,exotic congener
pear,pyrus,non-native,non-native,deciduous,Rosaceae,138,19,119,pyrus-exotic,138,,exotic,exotic
peony,paeonia,non-native,non-native,deciduous,Paeoniaceae,4,1,3,paeonia-exotic,4,,exotic,exotic
persian ironwood,parrotia,non-native,non-native,deciduous,Hamamelidaceae,0,0,0,parrotia-exotic,0,leps from HOSTS,exotic,exotic
persimmon,diospyros,native,native,deciduous,Ebenaceae,46,2,44,diospyros-native,46,,native congener,native
persimmon (american),diospyros,native,native,deciduous,Ebenaceae,46,2,44,diospyros-native,46,,native congener,native
photinia,photinia,non-native,native,evergreen,Rosaceae,29,3,26,photinia-exotic,5.22,,exotic,exotic congener
pieris,pieris,non-native,native,deciduous,Ericaceae,2,0,2,pieris-exotic,0.36,,exotic congener,exotic congener
pignut hickory,carya,native,native,deciduous,Juglandaceae,235,2,233,carya-native,235,,native,native
pin oak,quercus,native,native,deciduous,Fagaceae,532,14,518,quercus-native,532,,native congener,native
pine sp.,pinus,unknown,native,conifer,Pinaceae,201,10,191,pinus-unknown,201,,unknown,unknown
plum,prunus,non-native,native,deciduous,Rosaceae,456,27,429,prunus-exotic,82.08,,exotic congener,exotic congener
plum yew,cephalotaxus,non-native,non-native,conifer,Cephalotaxaceae,0,0,0,cephalotaxus-exotic,0,leps from HOSTS,exotic,exotic
poison ivy,toxicodendron,native,native,deciduous,Anacardiaceae,15,2,13,toxicodendron-native,15,,native,native
porcelianberry,ampelopsis,non-native,non-native,deciduous,Vitaceae,15,.,.,ampelopsis-exotic,15,leps from HOSTS,exotic,exotic
possumhaw,ilex,native,native,deciduous,Aquifoliaceae,39,5,34,ilex-native,39,,native congener,native
post oak,quercus,native,native,deciduous,Fagaceae,532,14,518,quercus-native,532,,native congener,native
princess tree,paulownia,non-native,non-native,deciduous,Paulowniaceae,2,0,2,paulownia-exotic,2,,exotic,exotic
princeton elm,ulmus,native,native,deciduous,Ulmaceae,215,9,206,ulmus-native,215,,native congener,native
privet,ligustrum,non-native,non-native,.,Oleaceae,24,5,19,ligustrum-exotic,24,,exotic,exotic
purple-leaf plum,prunus,non-native,native,deciduous,Rosaceae,456,27,429,prunus-exotic,82.08,,exotic congener,exotic congener
purple-leaf sand cherry,prunus,non-native,native,deciduous,Rosaceae,456,27,429,prunus-exotic,82.08,,exotic congener,exotic congener
quince,chaenomeles,non-native,non-native,deciduous,Rosaceae,8,2,6,chaenomeles-exotic,8,,exotic,exotic
raspberry,rubus,native,native,deciduous,rosaceae,163,12,151,rubus-native,163,,native congener,native
red cedar,juniperus,native,native,deciduous,Cupressaceae,42,5,37,juniperus-native,42,,native congener,native
red maple,acer,native,native,deciduous,Sapindaceae,297,10,287,acer-native,297,,native-congener,native
red oak,quercus,native,native,deciduous,Fagaceae,532,14,518,quercus-native,532,,native congener,native
red pine,pinus,native,native,conifer,Pinaceae,201,10,191,pinus-native,201,,native congener,native
redbud,cercis,native,native,deciduous,Fabaceae,19,0,19,cercis-native,19,,native,native
red-osier dogwood,cornus,native,native,deciduous,Cornaceae,118,2,116,cornus-native,118,,native congener,native
rhododendron,rhododendron,native,native,deciduous,Ericaceae,51,1,50,rhododendron-native,51,,native congener,native
river birch,betula,native,native,deciduous,Betulaceae,411,11,400,betula-native,411,,native,native
rose mallow,hibiscus,native,native,deciduous,Rosaceae,21,2,19,hibiscus-native,21,Hibiscus moscheutos,native congener,native
rose of sharon,hibiscus,non-native,native,deciduous,Malvaceae,21,2,19,hibiscus-exotic,3.78,,exotic congener,exotic congener
rosemary,.,other,.,.,.,.,.,.,.,.,,other,other
rubus sp.,rubus,native,native,deciduous,rosaceae,163,12,151,rubus-native,163,,native congener,native
rusty blackhaw,viburnum,native,native,deciduous,Caprifoliaceae,104,6,98,viburnum-native,104,,native congener,native
sage,.,other,.,.,.,.,.,.,.,.,,other,other
sassafras,sassafras,native,native,deciduous,Lauraceae,38,2,36,sassafras-native,38,,native,native
saucercup magnolia,magnolia,non-native,native,deciduous,Magnoliaceae,21,0,21,magnolia-exotic,3.78,,exotic congener,exotic congener
sawtooth oak,quercus,non-native,native,deciduous,Fagaceae,532,14,518,quercus-exotic,95.76,,exotic congener,exotic congener
scarlet oak,quercus,native,native,deciduous,Fagaceae,532,14,518,quercus-native,532,,native congener,native
scarlet/pin oak,quercus,native,native,deciduous,Fagaceae,532,14,518,quercus-native,532,,native congener,native
scotch broom,cytisus,non-native,non-native,deciduous,Fabaceae,8,3,5,cytisus-exotic,8,,exotic,exotic
scots pine,pinus,non-native,native,conifer,Pinaceae,201,10,191,pinus-exotic,36.18,,exotic congener,exotic congener
serviceberry,amelanchier,native,native,deciduous,Rosaceae,124,5,119,amelanchier-native,124,,native,native
shagbark hickory,carya,native,native,deciduous,Juglandaceae,235,2,233,carya-native,235,,native,native
shingle oak,quercus,native,native,deciduous,Fagaceae,532,14,518,quercus-native,532,,native congener,native
shortleaf pine,pinus,native,native,conifer,Pinaceae,201,10,191,pinus-native,201,,native congener,native
siberian dogwood,cornus,non-native,native,deciduous,Cornaceae,118,2,116,cornus-exotic,21.24,,exotic congener,exotic congener
siberian elm,ulmus,non-native,native,deciduous,Ulmaceae,215,9,206,ulmus-exotic,38.7,,exotic congener,exotic congener
silk tree,albizia,non-native,non-native,deciduous,Fabaceae,5,2,3,albizia-exotic,5,,exotic,exotic
silky dogwood,cornus,native,native,deciduous,Cornaceae,118,2,116,cornus-native,118,,native congener,native
silver maple,acer,native,native,deciduous,Sapindaceae,297,10,287,acer-native,297,,native-congener,native
slippery elm,ulmus,native,native,deciduous,Ulmaceae,215,9,206,ulmus-native,215,,native congener,native
smoketree,cotinus,non-native,non-native,deciduous,Anacardiaceae,4,0,4,cotinus-exotic,0.72,changed from native to non-native as per DT,exotic,exotic
smooth alder,alnus,native,native,deciduous,Betulaceae,255,7,248,alnus-native,255,,native,native
snag,.,other,.,.,.,.,.,.,.,.,,other,other
sour cherry,prunus,non-native,native,deciduous,Rosaceae,456,27,429,prunus-exotic,82.08,,exotic congener,exotic congener
sourwood,oxydendrum,native,native,deciduous,Ericaceae,14,0,14,oxydendrum-native,14,,native,native
southern magnolia,magnolia,native,native,deciduous,Magnoliaceae,21,0,21,magnolia-native,21,,native congener,native
southern red oak,quercus,native,native,deciduous,Fagaceae,532,14,518,quercus-native,532,,native congener,native
spicebush,lindera,native,native,deciduous,Lauraceae,11,2,9,lindera-native,11,,native,native
spirea,spirea,non-native,native,deciduous,Rosaceae,92,3,89,spirea-exotic,16.56,,exotic congener,exotic congener
spirea (native),spirea,native,native,deciduous,Rosaceae,92,3,89,spirea-native,92,,native congener,native
spirea japonica,spirea,non-native,native,deciduous,Rosaceae,92,3,89,spirea-exotic,16.56,,exotic congener,exotic congener
spruce sp.,picea,unknown,native,conifer,Pinaceae,150,4,146,picea-exotic,150,,unknown,unknown
st. johns wort,hypericum,non-native,native,deciduous,Hypericaceae,20,0,20,hypericum-exotic,3.6,,exotic congener,exotic congener
star magnolia,magnolia,non-native,native,deciduous,Magnoliaceae,21,0,21,magnolia-exotic,3.78,,exotic congener,exotic congener
stellar dogwood,cornus,non-native,native,deciduous,Cornaceae,118,2,116,cornus-exotic,21.24,,exotic congener,exotic congener
stewartia,stewartia,non-native,native,deciduous,Theaceae,1,0,1,stewartia-exotic,0.18,,exotic,exotic congener
strawberry bush,euonymus,native,native,deciduous,Celastraceae,11,5,6,euonymus-exotic,11,,native congener,native
sugar maple,acer,native,native,deciduous,Sapindaceae,297,10,287,acer-native,297,,native-congener,native
sumac,rhus,native,native,deciduous,Anacardiaceae,58,4,54,rhus-native,58,,native,native
summersweet,clethra,native,native,deciduous,Clethraceae,10,1,9,clethra-native,10,,native,native
swamp mallow,hibiscus,native,native,deciduous,Malvaceae,21,2,19,hibiscus-native,21,,native congener,native
