site,date,point,treespp,treespp_format,check,dbh1,dbh2,dbh3,dbh4,dbh5,dbh6,dbh7,dbh8,dbh9,dbh10,dbh11,dbh12,dbh13,dbh14,dbh15,dbh16,dbh17,dbh18,dbh19,dbh20,dbh21,dbh22,height,height_to_crown,Width1,width2,Condition,notes,year,notes
benskatva1,6/15/2014,nestbox,red maple,red maple,red maple,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,red maple,red maple,red maple,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,red maple,red maple,red maple,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,red maple,red maple,red maple,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,black gum,black gum,black gum,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,black gum,black gum,black gum,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,1.5,4,4,r,.,2014,
benskatva1,6/15/2014,nestbox,black gum,black gum,black gum,13.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,1.5,4,4,r,.,2014,
benskatva1,6/15/2014,nestbox,chestnut oak,chestnut oak,chestnut oak,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,4,0.5,0.5,r,.,2014,
benskatva1,6/15/2014,nestbox,black gum,black gum,black gum,7.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,2.5,3,2,r,.,2014,
benskatva1,6/15/2014,nestbox,chestnut oak,chestnut oak,chestnut oak,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,3,0.5,0.5,r,.,2014,
benskatva1,6/15/2014,nestbox,chestnut oak,chestnut oak,chestnut oak,48.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,9,10,10,r,.,2014,
benskatva1,6/15/2014,nestbox,chestnut oak,chestnut oak,chestnut oak,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,9,10,10,r,.,2014,
benskatva1,6/15/2014,nestbox,chestnut oak,chestnut oak,chestnut oak,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,12,8,8,r,.,2014,
benskatva1,6/15/2014,1,chestnut oak,chestnut oak,chestnut oak,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,3,3,3,r,.,2014,
benskatva1,6/15/2014,1,chestnut oak,chestnut oak,chestnut oak,22.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,2,3,3,d,.,2014,
benskatva1,6/15/2014,1,snag,snag,snag,17.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,snag,.,2014,
benskatva1,6/15/2014,1,chestnut oak,chestnut oak,chestnut oak,37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,5,6,6,r,.,2014,
benskatva1,6/15/2014,1,chestnut oak,chestnut oak,chestnut oak,34,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,5,3,3,r,.,2014,
benskatva1,6/15/2014,1,snag,snag,snag,42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,.,.,.,snag,.,2014,
benskatva1,6/15/2014,1,black gum,black gum,black gum,11.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,2,4,4,r,.,2014,
benskatva1,6/15/2014,1,black gum,black gum,black gum,11.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,2,4,4,r,.,2014,
benskatva1,6/15/2014,1,chestnut oak,chestnut oak,chestnut oak,72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,15,12,10,r,.,2014,
benskatva1,6/15/2014,1,white oak,white oak,white oak,47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,6,6,6,r,.,2014,
benskatva1,6/15/2014,1,black oak,black oak,black oak,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,3,3,3,r,.,2014,
benskatva1,6/15/2014,1,black oak,black oak,black oak,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,3,3,3,r,.,2014,
benskatva1,6/15/2014,1,black oak,black oak,black oak,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,3,3,3,r,.,2014,
benskatva1,6/15/2014,1,black oak,black oak,black oak,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,3,3,3,r,.,2014,
